update_id,date,from_name,role,channel,subject,content,action_needed,urgency,status,weeks_active
TU-001,2026-03-03,Diana Walsh,VP Regulatory Affairs,Email,"UK FCA post-approval conditions","FCA granted our license but with 3 conditions: (1) quarterly transaction reporting, (2) enhanced AML monitoring for first 12 months, (3) board-level compliance officer appointment. Need your sign-off on the compliance officer nomination - recommending Sarah Park.",Decision - approve compliance officer nomination,High,Active,1
TU-002,2026-03-03,Diana Walsh,VP Regulatory Affairs,Slack,"Luxembourg CSSF update","CSSF license is fully operational. EU passporting rights activated. No conditions attached. Clean approval.",None - FYI,Low,Complete,0
TU-003,2026-03-04,Diana Walsh,VP Regulatory Affairs,Email,"DFSA annual review","Dubai DFSA annual compliance review scheduled for April 15-17. Need to prep documentation package. My team is handling but flagging for your awareness.",None - FYI,Medium,Active,1
TU-004,2026-03-03,James Morton,VP Corporate & M&A Legal,Email,"Rail license transfers - cost overrun","5 of 8 US state money transmitter license transfers complete for Rail acquisition. Remaining 3 states (NY, CA, TX) requiring more extensive filings than anticipated. Outside counsel costs $300K over budget. Need approval for additional spend.",Decision - approve $300K additional budget,High,Active,4
TU-005,2026-03-04,James Morton,VP Corporate & M&A Legal,Slack,"Hidden Road - regulatory license transfers","8 of 12 jurisdiction license transfers complete. Remaining: UK (FCA review), Singapore (MAS), Hong Kong (SFC), UAE (DFSA). UK and SG on track; HK and UAE have been slow - may need escalation.",Possible escalation in HK and UAE,Medium,Active,6
TU-006,2026-03-05,James Morton,VP Corporate & M&A Legal,Email,"GTreasury IP assignment","All IP assignments from GTreasury acquisition are finalized and recorded. Clean chain of title confirmed. Closing this workstream.",None - FYI,Low,Complete,0
TU-007,2026-03-03,Rachel Kim,VP Litigation,Email,"SEC case - final status","All appeals fully resolved and case is closed. Recommending we archive all case files and do a final cost accounting.",Decision - approve case archival process,Low,Closing,1
TU-008,2026-03-04,Rachel Kim,VP Litigation,Slack,"New dispute - former employee","Former employee of recently acquired subsidiary filed wrongful termination claim in NY state court. Pre-acquisition termination but reviewing potential successor liability. Engaging employment counsel. Standard process.",None yet - monitoring,Medium,Active,1
TU-009,2026-03-05,Rachel Kim,VP Litigation,Email,"Patent troll notice","Received demand letter from BlockPatent LLC alleging infringement of 3 patents related to 'blockchain-based payment routing.' Almost certainly a patent troll. Recommend standard response (deny, request claim charts). No settlement.",Decision - approve litigation strategy,Low,Active,2
TU-010,2026-03-03,Marcus Chen,VP Compliance,Email,"RLUSD compliance monitoring Q1","Q1 RLUSD compliance report: zero regulatory findings, all reserves audited and verified by BNY Mellon, NYDFS examination passed clean. Stablecoin operations fully compliant.",None - FYI,Low,Active,1
TU-011,2026-03-04,Marcus Chen,VP Compliance,Slack,"AML monitoring system upgrade","New AML transaction monitoring rules deployed across all corridors. System flagged 12 false positives in first 24 hours - tuning thresholds with vendor. No real alerts. Will have calibration complete by EOD Friday.",Monitoring - system tuning in progress,Medium,Active,1
TU-012,2026-03-05,Marcus Chen,VP Compliance,Email,"Multi-stablecoin support - legal review needed","Rail team wants to support USDC and USDT on their B2B payment rails in addition to RLUSD. Need legal review of regulatory implications - different issuer relationships, reserve structures, and potential liability. This is blocking their roadmap.",Legal review needed,High,Active,3
TU-013,2026-03-03,Priya Sharma,VP IP & Technology,Email,"XRPL patent portfolio update","Filed 3 new patents in Q1 (consensus mechanism improvements, cross-chain bridging, CBDC privacy). Total portfolio: 87 granted, 24 pending. No infringement claims against us (other than troll noted above).",None - FYI,Low,Active,1
TU-014,2026-03-05,Priya Sharma,VP IP & Technology,Slack,"Open source license review - Palisade","Palisade codebase audit revealed dependency on 2 AGPL-licensed libraries. Need to either replace these dependencies or ensure our use doesn't trigger copyleft provisions. Coordinating with engineering.",Monitoring - may need decision,Medium,Active,2
TU-015,2026-03-04,Sarah Park,VP Employment Law,Email,"Hidden Road benefits harmonization","Benefits transition plan for Hidden Road team: recommending April 1 effective date. All employee communications drafted. Need CLO sign-off before HR distributes. Key change: Hidden Road had better dental coverage - proposing we match it company-wide (add $180K/yr).",Decision - approve benefits plan and dental upgrade,Medium,Active,3
TU-016,2026-03-05,Sarah Park,VP Employment Law,Slack,"H-1B renewals","3 H-1B visa renewal applications due this month. All paperwork prepared. Immigration counsel engaged. On track - no issues.",None - on track,Low,Active,1
TU-017,2026-03-05,Sarah Park,VP Employment Law,Email,"APAC employment law changes","Singapore updated employment act effective April 1 - new requirements for flexible work arrangement requests. Impacts our SG team of 45. Need policy update. Drafting now - will have for review next week.",None yet - in progress,Medium,Active,2
