update_id,date,from_name,role,channel,subject,content,action_needed,urgency,status,weeks_active
FU-001,2026-03-03,Angela Torres,VP FP&A,Email,"Q1 forecast — final revision","Q1 revenue tracking 4% above plan ($128M vs $123M plan). Payments +6% driven by LATAM corridor expansion. RLUSD custody fees ahead of model. OpEx 2% over plan — acquisition headcount came on faster than modeled. Recommending we update full-year guidance at board meeting.",Discussion — board guidance update,High,Active,1
FU-002,2026-03-04,Angela Torres,VP FP&A,Slack,"GTreasury model integration","Integrated GTreasury financials into consolidated model. ARR at $48.2M flows correctly. Working on segment reporting format for the board — should we report GTreasury as its own segment or roll into Payments? Need your call on this.",Decision — segment reporting structure,High,Active,2
FU-003,2026-03-05,Angela Torres,VP FP&A,Email,"Headcount tracker — March update","Total headcount: 1,247 (up from 1,180 at year start). Acquisition teams: Hidden Road (+38), GTreasury (+95), Rail (+12), Palisade (+8). Organic hires: +14. Current run-rate is $285M total comp. Budget was $278M — variance from acquisition timing.",None — FYI,Medium,Active,1
FU-004,2026-03-03,David Park,VP Accounting,Email,"February close — status","February close 85% complete. Revenue recognition done. Working through acquisition purchase price allocation adjustments — GTreasury and Hidden Road have complex deferred revenue treatments. Target: close complete by March 7.",None — on track,Medium,Active,1
FU-005,2026-03-05,David Park,VP Accounting,Slack,"Audit prep — EY requests","EY sent their initial request list for the 2025 annual audit. 47 items — standard plus extra scrutiny on acquisition accounting (expected). My team is compiling. Two items need your involvement: (1) management representation letter and (2) significant estimate judgments memo. Will schedule time next week.",Action — schedule time for audit items,Medium,Active,1
FU-006,2026-03-04,David Park,VP Accounting,Email,"Purchase price allocation — GTreasury","External valuation firm (Duff & Phelps) delivered preliminary PPA for GTreasury. Key intangibles: customer relationships ($180M, 12-yr life), technology ($95M, 7-yr life), trade name ($25M, 15-yr life). Goodwill: ~$580M. Need your review before we finalize with auditors.",Decision — review and approve PPA,High,Active,3
FU-007,2026-03-03,Raj Patel,VP Treasury,Email,"Cash position — weekly update","Total cash and investments: $1.82B. Operating cash: $340M. Strategic reserves: $480M (includes $150M earmarked for potential acquisition earnouts). XRP treasury: $28B notional (subject to programmatic sales agreement). No changes to debt facilities.",None — FYI,Low,Active,1
FU-008,2026-03-04,Raj Patel,VP Treasury,Slack,"RLUSD reserve management","RLUSD market cap hit $500M over the weekend. Reserve portfolio ($502M) fully backed — US Treasuries ($380M), bank deposits ($72M), reverse repos ($50M). BNY Mellon monthly attestation on track. Zero redemption issues.",None — FYI,Medium,Active,1
FU-009,2026-03-05,Raj Patel,VP Treasury,Email,"FX hedging — LATAM exposure","LATAM corridor volumes creating BRL and MXN exposure. Current hedging covers 60% of projected Q2 volumes. Recommending we increase to 80% given currency volatility. Additional hedging cost: ~$1.2M. Need approval.",Decision — approve FX hedging increase,Medium,Active,2
FU-010,2026-03-03,Lisa Chen,VP Tax,Email,"Transfer pricing study — 2025","Transfer pricing documentation for 2025 in progress. Key issue: intercompany charges between US entity and new Singapore/UK/Dubai subsidiaries need to reflect acquisition-related IP transfers. Outside tax counsel (KPMG) engaged. On track for June filing deadlines.",None — on track,Medium,Active,4
FU-011,2026-03-05,Lisa Chen,VP Tax,Slack,"R&D tax credit — preliminary estimate","2025 R&D tax credit preliminary estimate: $8.2M (up from $6.1M in 2024). Increase driven by XRPL protocol development, RLUSD infrastructure, and Palisade R&D. Final study due April 30.",None — FYI,Low,Active,1
FU-012,2026-03-04,Lisa Chen,VP Tax,Email,"GTreasury tax integration","GTreasury was structured as a C-corp with NOLs of $12M. Evaluating whether to maintain as separate entity or merge into Ripple's structure. Tax impact analysis in progress — preliminary view is separate entity is more favorable. Will present options next week.",Discussion — entity structure,Medium,Active,3
FU-013,2026-03-03,Karen Wu,VP Investor Relations,Email,"Shareholder communications — Q1 preview","Draft shareholder letter for Q1 results in progress. Key narratives: (1) acquisition integration on track, (2) regulatory momentum (8 new market approvals), (3) RLUSD growth. First draft to you by March 14.",None — on track,Medium,Active,1
FU-014,2026-03-05,Karen Wu,VP Investor Relations,Slack,"Investor inquiry — governance question","Received inquiry from top-10 shareholder about board composition post-acquisitions. Specifically asking about Renaat's role and GTreasury board representation. Drafted response — need your review before sending.",Action — review investor response draft,High,Active,1
FU-015,2026-03-04,Karen Wu,VP Investor Relations,Email,"Analyst day planning","Proposing an Analyst Day in May (around Consensus timing). Would showcase all 5 business lines + acquisition integration progress. Early venue scouting in NYC. Budget estimate: $150K. Need your go/no-go by March 15.",Decision — analyst day approval,Medium,Active,2
FU-016,2026-03-05,RN,CEO GTreasury BU,Email,"GTreasury Q1 preview — finance details","Supplementing my earlier email to the team: Q1 financials detail — Revenue: $12.8M (annualized $48.2M ARR). EBITDA margin: 18% (up from 15% at acquisition). Deferred revenue: $22M. Cash collections on track. Implementation revenue lumpy — 2 large enterprise go-lives in Q2 will smooth it.",None — FYI,Medium,Active,1
FU-017,2026-03-03,RN,CEO GTreasury BU,Slack,"Combined reporting — timing question","JB — when do you need GTreasury's full financial package for the board deck? Want to make sure our numbers align with corporate's consolidation timeline. Can have everything ready by Monday March 9 if that works.",Action — confirm timeline,Medium,Active,1
