deal_id,deal_name,deal_type,stage,strategic_rationale,estimated_value,next_milestone,expected_close,owner,status,top_blocker,days_since_update,priority
D-001,Apex Digital (Crypto Custodian — APAC),Acquisition,Due Diligence,"Fills custody gap in APAC; 40+ institutional clients in Singapore/HK/Japan","$120-150M","Financial DD completion (Mar 18)","Q2 2026",EJ,"On Track","Regulatory approval timeline in Singapore uncertain",2,High
D-002,Santander — Brazil-Mexico Corridor,Strategic Partnership,Negotiation,"Unlocks highest-volume LATAM remittance corridor with a top-5 global bank","Revenue share TBD","Term sheet finalization (Mar 14)","April 2026",VP Partnerships,"Needs Attention","Santander wants to accelerate to April launch; need to confirm engineering resources (2 engineers from Rail integration)",1,High
D-003,European Digital Bank — RLUSD Settlement,Strategic Partnership,Screening,"First European bank to use RLUSD for cross-border settlement; regulatory proof point post-FCA","Revenue share TBD","Initial assessment complete (Mar 21)","Q3 2026",Corp Dev Associate,"On Track","Bank's compliance team still reviewing RLUSD risk framework",5,Medium
D-004,TreasuryPrime (API Banking Platform),Acquisition,Screening,"Adds embedded banking APIs to GTreasury platform; accelerates fintech distribution","$60-80M","Management presentation (Mar 25)","Q3 2026",Corp Dev Associate,"On Track","Competitive process — 2 other bidders (FIS and Finastra)",3,Medium
D-005,Middle East Sovereign Wealth Fund — Strategic Investment,Investment (Inbound),Negotiation,"$200M strategic investment at premium valuation; validates institutional confidence post-SEC resolution","$200M","Investment committee presentation (Mar 12)","April 2026",JB + EJ,"Needs Attention","Fund wants board observer seat; need board approval for governance change",1,High
D-006,Compliance.ai (RegTech Platform),Acquisition,Due Diligence,"Automates regulatory compliance monitoring across 75+ jurisdictions; reduces SA's team workload by 40%","$35-50M","Technical DD completion (Mar 20)","Q2 2026",Corp Dev Associate,"On Track","Integration complexity with existing compliance tooling unclear",4,Medium
D-007,Central Bank of Indonesia — CBDC Advisory,Partnership,Approval,"Extends CBDC program to 4th-largest country by population; validates platform for large-scale deployments","Advisory fee + licensing","BG approval for proposal submission (Mar 11)","Q2 2026",VP Digital Currencies,"On Track","Waiting on BG sign-off on proposal scope and pricing",7,Medium
D-008,Nordic Payment Processor — XRP Liquidity,Strategic Partnership,Due Diligence,"Opens Nordic corridor (Sweden/Norway/Denmark); first XRP ODL deployment in Scandinavia","Revenue share TBD","Partner technical assessment (Mar 22)","Q3 2026",VP Partnerships,"On Hold","Partner paused while evaluating EU MiCA implications for XRP-based settlement",14,Low
D-009,Latin American Neobank Consortium,Strategic Partnership,Screening,"5 neobanks want bundled Ripple Payments + RLUSD for LATAM remittances; $2B combined annual volume","Revenue share TBD","Consortium term alignment (Apr 5)","Q3 2026",VP Partnerships,"On Track","Consortium members have conflicting exclusivity requirements",6,Medium
D-010,DataVault (Enterprise Data Platform),Acquisition,On Hold,"Data infrastructure play for unified analytics across all BUs; synergy with GTreasury data layer","$25-40M","Reactivation review (April)","TBD",Corp Dev Associate,"On Hold","Deprioritized in Q1 to focus resources on higher-priority integrations",32,Low
