request_id,shareholder_name,shareholder_type,contact_email,request_date,deadline,request_summary,data_needed,assigned_team,internal_deadline,status,response_sent,notes
SR-Q1-001,Fortress Investment Group,Lead Investor (Series D),investor.relations@example-fortress.com,2026-03-01,2026-03-15,"Q1 financial summary and updated cap table","Revenue by business line, EBITDA, cash position, updated cap table post-buybacks, employee stock option pool status",Finance + Legal,2026-03-10,In Progress,,"Finance has revenue data ready; legal preparing cap table update"
SR-Q1-002,Citadel Securities,Series D Investor,portfolio@example-citadel.com,2026-03-01,2026-03-15,"RLUSD metrics and prime brokerage integration update","RLUSD market cap, velocity, institutional holders, Hidden Road cross-margining adoption rates, combined prime brokerage volume",Product + Prime,2026-03-10,Assigned,,"Routed to Product team March 2"
SR-Q1-003,Pantera Capital,Series D Investor,ir@example-pantera.com,2026-03-02,2026-03-20,"Comprehensive quarterly update package","Full financial summary, product KPIs across all 5 business lines, regulatory license status, acquisition integration progress, competitive landscape overview",Finance + Product + Legal + Strategy,2026-03-14,Received,,"Most extensive request; needs coordination across 4 teams"
SR-Q1-004,Galaxy Digital,Series D Investor,investments@example-galaxy.com,2026-03-02,2026-03-18,"XRP ecosystem health metrics","XRP on-chain activity, ETF flow data, escrow release schedule and actuals, XRPL developer activity, ODL volume trends",Product + Strategy,2026-03-12,In Progress,,"Product team compiling; some data needs XRPL Foundation input"
SR-Q1-005,SBI Holdings,Strategic Partner/Investor,corporate@example-sbi.com,2026-03-03,2026-03-20,"Partnership performance and RLUSD pilot status","SBI corridor transaction volumes, RLUSD pilot metrics, joint product roadmap update, Japanese regulatory status",Product + Sales + Legal,2026-03-14,Assigned,,"Need sales team input on SBI-specific metrics"
SR-Q1-006,Brevan Howard,Series D Investor,operations@example-brevan.com,2026-03-03,2026-03-15,"Risk management and treasury overview","Balance sheet summary, XRP holdings and escrow positions, RLUSD reserve composition, counterparty risk framework, insurance coverage",Finance + Treasury + Legal,2026-03-10,In Progress,,"Finance has most data; treasury team preparing reserve details"
SR-Q1-007,Marshall Wace,Series D Investor,research@example-mw.com,2026-03-04,2026-03-18,"Competitive positioning analysis","Market share data vs. SWIFT/Circle/Stellar, win/loss analysis, partner pipeline, TAM penetration estimates",Strategy + Sales,2026-03-12,Received,,"Need to assign to strategy team"
SR-Q1-008,Chris Larsen (Board),Co-Founder/Board,clarsen@example-ripple.com,2026-03-04,2026-03-12,"Updated share register and escrow status","Current share register, recent buyback activity, XRP escrow balances and release schedule, any pending secondary transactions",Legal + Finance,2026-03-08,In Progress,,"Legal team preparing response; finance data ready"
SR-Q1-009,Board of Directors (collective),Board,board@example-ripple.com,2026-03-05,2026-03-25,"Q1 board meeting pre-read materials","Complete Q1 board deck, financial statements, risk register, compliance report, acquisition integration status, strategic plan progress",All Teams,2026-03-18,Received,,"Standard quarterly board package; ML coordinating"
SR-Q1-010,Andreessen Horowitz,Early Investor,crypto@example-a16z.com,2026-03-05,2026-03-20,"Annual portfolio company update","Annual revenue, headcount, key product milestones, fundraising history, notable partnerships, 2026 outlook",Finance + People + Strategy,2026-03-14,Received,,"Standard annual request; template from last year available"
